Created On,Product Name,Product SKU,Source Location,Destination Location,Lot Number,Manufacture Date,Expiration Date,Type,Quantity,Product Unit,Code,Notes
02/10/2024,ĐẬU HŨ TRẮNG BEANY 300G,BNTOFU1,Xưởng,CN HCM,LOT240922,26/09/2024,18/10/2024,CHUYỂN,67.0,Hộp,STN01663,
02/10/2024,ĐẬU HŨ TRẮNG BEANY 300G,BNTOFU1,Xưởng,CN HCM,LOT240921,25/09/2024,17/10/2024,CHUYỂN,33.0,Hộp,STN01663,
02/10/2024,TÀO PHỚ TRUYỀN THỐNG BEANY 150G,BNSOYA3,Xưởng,CN HCM,LOT241001,30/09/2024,09/10/2024,CHUYỂN,20.0,Ly,STN01661,
02/10/2024,SỮA ĐẬU NÀNH MÈ ĐEN BEANY 300ML (CÓ ĐƯỜNG),BNSOYA14,Xưởng,CN HCM,LOT241001,30/09/2024,11/10/2024,CHUYỂN,20.0,Chai,STN01661,
02/10/2024,SỮA ĐẬU NÀNH BẠC HÀ BEANY 300ML (CÓ ĐƯỜNG),BNSOYA18,Xưởng,CN HCM,LOT241001,30/09/2024,11/10/2024,CHUYỂN,20.0,Chai,STN01661,
02/10/2024,SỮA ĐẬU NÀNH BEANY 300ML (CÓ ĐƯỜNG),BNSOYA5,Xưởng,CN HCM,LOT241001,30/09/2024,11/10/2024,CHUYỂN,10.0,ml,STN01660,
02/10/2024,SỮA ĐẬU NÀNH BẠC HÀ BEANY 300ML (CÓ ĐƯỜNG),BNSOYA18,Xưởng,CN HCM,LOT241001,30/09/2024,11/10/2024,CHUYỂN,20.0,Chai,STN01660,
01/10/2024,SỮA ĐẬU NÀNH MÈ ĐEN BEANY 300ML (CÓ ĐƯỜNG),BNSOYA14,CN Bình Thuận,CN HCM,LOT240920,24/09/2024,05/10/2024,CHUYỂN,5.0,Chai,STN01658,
01/10/2024,ĐẬU HŨ MỀM BEANY 300G,BNTOFU2,Xưởng,CN HCM,LOT240922,26/09/2024,18/10/2024,CHUYỂN,10.0,Hộp,STN01657,
01/10/2024,ĐẬU HŨ TRẮNG BEANY 300G,BNTOFU1,Xưởng,CN HCM,LOT240921,25/09/2024,17/10/2024,CHUYỂN,10.0,Hộp,STN01657,
01/10/2024,TÀO PHỚ TRUYỀN THỐNG BEANY 150G,BNSOYA3,Xưởng,CN HCM,LOT240924,29/09/2024,08/10/2024,CHUYỂN,20.0,Ly,STN01657,
01/10/2024,ĐẬU HŨ VIÊN CHIÊN BEANY 500G,BNTOFU11,Xưởng,CN HCM,LOT240918,22/09/2024,14/10/2024,CHUYỂN,4.0,Túi,STN01657,
01/10/2024,ĐẬU HŨ TRẮNG BEANY 300G,BNTOFU1,Xưởng,CN HCM,LOT240921,25/09/2024,17/10/2024,CHUYỂN,10.0,Hộp,STN01655,
01/10/2024,ĐẬU HŨ CHIÊN BEANY 280G,BNTOFU3,Xưởng,CN HCM,LOT240921,25/09/2024,17/10/2024,CHUYỂN,10.0,Túi,STN01655,
01/10/2024,SỮA ĐẬU NÀNH BEANY 300ML (CÓ ĐƯỜNG),BNSOYA5,Xưởng,CN HCM,LOT240924,29/09/2024,10/10/2024,CHUYỂN,20.0,ml,STN01655,
28/09/2024,ĐẬU HŨ MỀM BEANY 300G,BNTOFU2,Xưởng,CN HCM,LOT240922,26/09/2024,18/10/2024,CHUYỂN,40.0,Hộp,STN01647,
28/09/2024,ĐẬU HŨ CHIÊN BEANY 280G,BNTOFU3,Xưởng,CN HCM,LOT240921,25/09/2024,17/10/2024,CHUYỂN,30.0,Túi,STN01647,
28/09/2024,SỮA ĐẬU NÀNH BEANY 300ML (CÓ ĐƯỜNG),BNSOYA5,Xưởng,CN HCM,LOT240923,27/09/2024,08/10/2024,CHUYỂN,20.0,ml,STN01647,
